
2025/01/07 (21:57:17) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/08 (19:19:17) | ===> btop++ v.1.4.0
2025/01/08 (19:19:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/08 (19:19:17) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/09 (21:19:05) | ===> btop++ v.1.4.0
2025/01/09 (21:19:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/09 (21:19:05) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/15 (16:39:10) | ===> btop++ v.1.4.0
2025/01/15 (16:39:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (16:39:10) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/19 (17:53:59) | ===> btop++ v.1.4.0
2025/01/19 (17:53:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (17:54:02) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/19 (18:08:43) | ===> btop++ v.1.4.0
2025/01/19 (18:08:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (18:58:56) | ===> btop++ v.1.4.0
2025/01/19 (18:58:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (18:58:56) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/01/26 (20:01:15) | ===> btop++ v.1.4.0
2025/01/26 (20:01:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/26 (20:01:15) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/02/08 (20:05:17) | ===> btop++ v.1.4.0
2025/02/08 (20:05:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (20:05:17) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/02/16 (07:43:38) | ===> btop++ v.1.4.0
2025/02/16 (07:43:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (07:43:44) | ===> btop++ v.1.4.0
2025/02/16 (07:43:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (07:43:44) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/02/21 (16:54:06) | ===> btop++ v.1.4.0
2025/02/21 (16:54:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (16:54:06) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2025/02/21 (18:35:43) | ===> btop++ v.1.4.0
